id,move_id,account_id,partner_id,date,name,debit,credit,balance,currency_id,analytic_distribution,reconciled
387,"[134, 'CBMX/2026/05/0001 (INV/2026/00008)']","[134, '899.01.99 Base Imponible de Impuestos en Base a Flujo de Efectivo']","[5750, 'Piedras el tiron']",2026-05-22,INV/2026/00008 - PBNK1/2026/00002,0.0,25100.0,-25100.0,"[33, 'MXN']",False,False
388,"[134, 'CBMX/2026/05/0001 (INV/2026/00008)']","[89, '209.01.01 IVA POR COBRAR']","[5750, 'Piedras el tiron']",2026-05-22,16%,4016.0,0.0,4016.0,"[33, 'MXN']",False,True
389,"[134, 'CBMX/2026/05/0001 (INV/2026/00008)']","[87, '208.01.01 IVA COBRADO']","[5750, 'Piedras el tiron']",2026-05-22,16%,0.0,4016.0,-4016.0,"[33, 'MXN']",False,False
605,"[201, 'MISCE/2026/05/0005 (PATRICIA CRUZ PEREZ)']","[3903, '201.01.14 PATRICIA CRUZ PEREZ']",False,2026-05-15,A3775,150000.0,0.0,150000.0,"[33, 'MXN']",{'5': 100.0},False
606,"[201, 'MISCE/2026/05/0005 (PATRICIA CRUZ PEREZ)']","[135, '102.01.01 BBVA CTA.7934 MX']",False,2026-05-15,A3775,0.0,150000.0,-150000.0,"[33, 'MXN']",{'5': 100.0},False
607,"[201, 'MISCE/2026/05/0005 (PATRICIA CRUZ PEREZ)']","[67, '118.01.01 IVA ACREDITABLE NACIONAL']",False,2026-05-15,A3775,20689.65,0.0,20689.65,"[33, 'MXN']",False,False
608,"[201, 'MISCE/2026/05/0005 (PATRICIA CRUZ PEREZ)']","[71, '119.01.01 IVA POR ACREDITAR']",False,2026-05-15,A3775,0.0,20689.65,-20689.65,"[33, 'MXN']",False,False
339,"[101, 'INV/2026/00054']","[4326, 'Sales and/or services taxed at the general rate']","[46, 'Carlos Solana']",2026-05-15,"BLOCK CARAMEL (LAMINA, LLANO)",0.0,420.0,-420.0,"[1, 'USD']",False,False
340,"[101, 'INV/2026/00054']","[4303, 'VAT carried forward not collected']","[46, 'Carlos Solana']",2026-05-15,16%,0.0,67.2,-67.2,"[1, 'USD']",False,False
341,"[101, 'INV/2026/00054']","[4265, 'Domestic customers']","[46, 'Carlos Solana']",2026-05-15,INV/2026/00054,487.2,0.0,487.2,"[1, 'USD']",False,False
336,"[117, 'Borrador de factura INV/2026/00053']","[4326, 'Sales and/or services taxed at the general rate']","[46, 'Carlos Solana']",2026-05-15,"BLOCK CARAMEL (LAMINA, RIEGOS)",0.0,180.0,-180.0,"[1, 'USD']",False,False
337,"[117, 'Borrador de factura INV/2026/00053']","[4303, 'VAT carried forward not collected']","[46, 'Carlos Solana']",2026-05-15,16%,0.0,28.8,-28.8,"[1, 'USD']",False,False
338,"[117, 'Borrador de factura INV/2026/00053']","[4265, 'Domestic customers']","[46, 'Carlos Solana']",2026-05-15,INV/2026/00053,208.8,0.0,208.8,"[1, 'USD']",False,False
333,"[116, 'INV/2026/00052']","[4326, 'Sales and/or services taxed at the general rate']","[46, 'Carlos Solana']",2026-05-15,"BLOCK CARAMEL (LAMINA, LLANO)",0.0,174.95,-174.95,"[1, 'USD']",False,False
334,"[116, 'INV/2026/00052']","[4303, 'VAT carried forward not collected']","[46, 'Carlos Solana']",2026-05-15,16%,0.0,27.99,-27.99,"[1, 'USD']",False,False
335,"[116, 'INV/2026/00052']","[4265, 'Domestic customers']","[46, 'Carlos Solana']",2026-05-15,INV/2026/00052,202.94,0.0,202.94,"[1, 'USD']",False,False
330,"[115, 'INV/2026/00051']","[4326, 'Sales and/or services taxed at the general rate']","[46, 'Carlos Solana']",2026-05-15,"BLOCK CARAMEL (LAMINA, LLANO)",0.0,174.95,-174.95,"[1, 'USD']",False,False
331,"[115, 'INV/2026/00051']","[4303, 'VAT carried forward not collected']","[46, 'Carlos Solana']",2026-05-15,16%,0.0,27.99,-27.99,"[1, 'USD']",False,False
332,"[115, 'INV/2026/00051']","[4265, 'Domestic customers']","[46, 'Carlos Solana']",2026-05-15,INV/2026/00051,202.94,0.0,202.94,"[1, 'USD']",False,False
611,"[203, 'MISCE/2026/05/0006 (X1 PTVO FILTROS SERVICIOS)']","[4115, '504.01.03 MTTO MAQ. PREVENTIVO']",False,2026-05-12,AA190395,11129.3,0.0,11129.3,"[33, 'MXN']",{'2': 100.0},False
612,"[203, 'MISCE/2026/05/0006 (X1 PTVO FILTROS SERVICIOS)']","[67, '118.01.01 IVA ACREDITABLE NACIONAL']",False,2026-05-12,AA190395,1780.69,0.0,1780.69,"[33, 'MXN']",False,False
613,"[203, 'MISCE/2026/05/0006 (X1 PTVO FILTROS SERVICIOS)']","[3696, '102.01.06 BBVA CTA.3701 MX']",False,2026-05-12,AA190395,0.0,12909.99,-12909.99,"[33, 'MXN']",{'2': 100.0},False
599,"[199, 'MISCE/2026/05/0004 (PATRICIA CRUZ PEREZ)']","[4182, '602.84.01 EMPAQUES Y EMBALAJES']",False,2026-05-08,A3775,180587.44,0.0,180587.44,"[33, 'MXN']",{'5': 100.0},False
600,"[199, 'MISCE/2026/05/0004 (PATRICIA CRUZ PEREZ)']","[71, '119.01.01 IVA POR ACREDITAR']",False,2026-05-08,A3775,28893.99,0.0,28893.99,"[33, 'MXN']",False,False
601,"[199, 'MISCE/2026/05/0004 (PATRICIA CRUZ PEREZ)']","[3903, '201.01.14 PATRICIA CRUZ PEREZ']",False,2026-05-08,A3775,0.0,209481.43,-209481.43,"[33, 'MXN']",{'5': 100.0},False
596,"[198, 'MISCE/2026/05/0003 (COMISIONES BANCARIAS BANREGIO DOLARES)']","[4250, '701.10.01 COMISIONES BANCARIAS']",False,2026-05-07,COMISIONES,15.0,0.0,15.0,"[1, 'USD']","{'2': 30.0, '5': 70.0}",False
597,"[198, 'MISCE/2026/05/0003 (COMISIONES BANCARIAS BANREGIO DOLARES)']","[67, '118.01.01 IVA ACREDITABLE NACIONAL']",False,2026-05-07,COMISIONES,2.4,0.0,2.4,"[1, 'USD']",False,False
598,"[198, 'MISCE/2026/05/0003 (COMISIONES BANCARIAS BANREGIO DOLARES)']","[3703, '102.02.05 BANREGIO CTA.1730 USD']",False,2026-05-07,COMISIONES,0.0,17.4,-17.4,"[1, 'USD']",False,False
592,"[192, 'MISCE/2026/05/0002 (ASTRO TRANSPORTE DE REFINADOS)']","[4114, '504.01.02 DIESEL']",False,2026-05-06,8720,12500.0,0.0,12500.0,"[33, 'MXN']","{'2': 70.0, '3': 30.0}",False
593,"[192, 'MISCE/2026/05/0002 (ASTRO TRANSPORTE DE REFINADOS)']","[67, '118.01.01 IVA ACREDITABLE NACIONAL']",False,2026-05-06,8720,2000.0,0.0,2000.0,"[33, 'MXN']",False,False
594,"[192, 'MISCE/2026/05/0002 (ASTRO TRANSPORTE DE REFINADOS)']","[105, '216.10.01 RETENCIONES IVA FLETES']",False,2026-05-06,8720,0.0,500.0,-500.0,"[33, 'MXN']",False,False
595,"[192, 'MISCE/2026/05/0002 (ASTRO TRANSPORTE DE REFINADOS)']","[135, '102.01.01 BBVA CTA.7934 MX']",False,2026-05-06,8720,0.0,14000.0,-14000.0,"[33, 'MXN']","{'2': 70.0, '3': 30.0}",False
313,"[110, 'PBNK1/2026/00018 (pagos carlos solana)']","[4351, 'BBVA CTA.7934 MX']","[46, 'Carlos Solana']",2026-05-03,Pago manual: pagos carlos solana,4.0,0.0,4.0,"[33, 'MXN']",False,False
314,"[110, 'PBNK1/2026/00018 (pagos carlos solana)']","[4265, 'Domestic customers']","[46, 'Carlos Solana']",2026-05-03,Pago manual: pagos carlos solana,0.0,4.0,-4.0,"[33, 'MXN']",False,False
297,"[105, 'PBNK1/2026/00017 (PAgo de 2 facturas)']","[4351, 'BBVA CTA.7934 MX']","[46, 'Carlos Solana']",2026-05-03,Pago manual: PAgo de 2 facturas,2.32,0.0,2.32,"[33, 'MXN']",False,False
298,"[105, 'PBNK1/2026/00017 (PAgo de 2 facturas)']","[4265, 'Domestic customers']","[46, 'Carlos Solana']",2026-05-03,Pago manual: PAgo de 2 facturas,0.0,2.32,-2.32,"[33, 'MXN']",False,True
323,"[113, 'INV/2026/00050']","[4326, 'Sales and/or services taxed at the general rate']","[46, 'Carlos Solana']",2026-05-03,"BLOCK CARAMEL (LAMINA, RIEGOS)",0.0,1.0,-1.0,"[33, 'MXN']",False,False
324,"[113, 'INV/2026/00050']","[4303, 'VAT carried forward not collected']","[46, 'Carlos Solana']",2026-05-03,16%,0.0,0.16,-0.16,"[33, 'MXN']",False,True
325,"[113, 'INV/2026/00050']","[4265, 'Domestic customers']","[46, 'Carlos Solana']",2026-05-03,INV/2026/00050,1.16,0.0,1.16,"[33, 'MXN']",False,True
